20220505	22:04:10 	 19b845b6-2751-4f01-b070-6438f94d6b6a 	 GET 	 undefined 	/states/KS/nickname
20220505	22:04:17 	 f949bbdc-5651-4580-9ac0-8721206f4fb9 	 GET 	 undefined 	/states/KS/population
20220505	22:04:22 	 7db82970-2a00-4f7b-8918-b54795f2f154 	 GET 	 undefined 	/states/KS/admission
20220505	22:04:29 	 a3b668ce-5a5a-43aa-b3ee-c44a964f8a11 	 GET 	 undefined 	/states/KS/funfact
20220505	22:22:50 	 34dafaed-cfd4-41b1-8d50-a6ea4f4fc939 	 GET 	 undefined 	/states/KS/funfact
20220505	22:59:03 	 cf261bcd-771c-456b-bdc0-54555a5d357e 	 GET 	 undefined 	/states/KS/funfact
20220505	23:03:16 	 c00eefee-d88e-4d47-8d30-358985209924 	 POST 	 undefined 	/states/KS/funfact
20220505	23:05:13 	 86b0fca1-73dc-4765-967d-2f4e0f119ee8 	 POST 	 undefined 	/states/KS/
20220505	23:05:30 	 a4f144ff-8aa5-48b4-aaf8-451b59ac105d 	 GET 	 undefined 	/states/KS/
20220505	23:06:33 	 b4f40543-7ebe-40c0-8003-fbc46e7892fe 	 POST 	 undefined 	/states/KS/funfact
20220505	23:10:51 	 ca2095a4-d2e5-47e0-bd1c-095ca68c8c07 	 POST 	 undefined 	/states/KS/funfact
20220505	23:12:05 	 fa287cc1-fa8a-42c6-a7ea-fa330ed78976 	 GET 	 undefined 	/states/KS/funfact
20220505	23:13:04 	 c6bf730c-c1cc-4097-ab68-4d0ab67ca541 	 POST 	 undefined 	/states/KS/funfact
20220505	23:14:01 	 dac4cc55-0eaf-404f-a389-db5f200b4187 	 POST 	 undefined 	/states/KS/funfact
20220505	23:14:22 	 719255bb-22c8-4ab9-9738-9d0489488155 	 GET 	 undefined 	/states/KS/funfact
20220505	23:14:33 	 a5001bf4-c644-4c2f-9e65-a0f7dd42896c 	 POST 	 undefined 	/states/KS/funfact
20220505	23:14:50 	 6d94db13-7c50-4e4b-ba3d-eb36515e8aad 	 GET 	 undefined 	/states/KS/funfact
20220505	23:14:52 	 98ad79a6-3f05-419f-91b2-346a07b58965 	 GET 	 undefined 	/states/KS/funfact
20220505	23:14:53 	 d2afd2da-9123-460d-ace2-cfd67e8dd985 	 GET 	 undefined 	/states/KS/funfact
20220505	23:14:54 	 77a91b5f-8c4f-4b5f-a0b8-c14dda30f791 	 GET 	 undefined 	/states/KS/funfact
20220505	23:14:55 	 16ffe581-9648-42ba-ba24-a0aae706eef1 	 GET 	 undefined 	/states/KS/funfact
20220505	23:14:56 	 12669882-6434-4924-9f02-feffdf5cd3ac 	 GET 	 undefined 	/states/KS/funfact
20220505	23:21:06 	 882f7236-0f85-4474-a22e-ed4cf3c0bf9b 	 PATCH 	 undefined 	/states/KS/funfact
20220505	23:23:49 	 7706904c-c068-4a39-84bf-a0fa472dec39 	 DELETE 	 undefined 	/states/KS/funfact
